review,rating,tanggal,sentimen,review_clean,text_final
mantap poko ya,5,2026-04-14 12:48:26,Positif,mantap poko ya,bagus poko ya
sudah lah tutup saja kantor spx yang lama kirim barang yang selalu paket harus ambil kekantor spx dan belum di kirim ke kita paket lewat tanggal estimasi malah di return tolong shopee di tingkat kan lagi kinerja anda. karena kami bayar pake uang bukan daun oke. jujur pelayanan shopee kurang tegas kepada pekerja pengiriman barang,2,2026-04-14 12:47:35,Negatif,sudah lah tutup saja kantor spx yang lama kirim barang yang selalu paket harus ambil kekantor spx dan belum di kirim ke kita paket lewat tanggal estimasi malah di return tolong shopee di tingkat kan lagi kinerja anda karena kami bayar pake uang bukan daun oke jujur pelayanan shopee kurang tegas kepada pekerja pengiriman barang,tutup kantor spx lama kirim barang paket ambil kantor spx kirim paket lewat tanggal estimasi malah return tolong tingkat kan kerja bayar pake uang bukan daun oke jujur layan kurang tegas kepada kerja kirim barang
"BAGUS BANGETTT, tbh aku suka banget sama apk ini ><. banyak disc dan pengiriman selalu sat settt 😜🤞🏻, saran ku kalian kalo mau belanja online di apk oren ini aja siiiihh! di jamin ketagihan co🤤🤤👈🏻",5,2026-04-14 12:45:05,Positif,bagus bangettt tbh aku suka banget sama apk ini banyak disc dan pengiriman selalu sat settt saran ku kalian kalo mau belanja online di apk oren ini aja siiiihh di jamin ketagihan co,bagus bangettt tbh aku suka apk banyak disc kirim sat settt saran ku kalian kalo ingin belanja online apk oren siiiihh jamin tagih co
puas banget blanja d shopy..brang y bagus² sesuai dgn gambar&deskripsi y,5,2026-04-14 12:44:46,Positif,puas banget blanja d shopy brang y bagus sesuai dgn gambar deskripsi y,puas blanja shopy brang bagus sesuai gambar deskripsi
shopy memudahkan masyarakat berbelanja dgn harga terjangkau dn murah....semoga ke depannya shopy suatu satlaat menjadi Bomerang bagi masyarakat ekonomi lemah👍,5,2026-04-14 12:41:40,Positif,shopy memudahkan masyarakat berbelanja dgn harga terjangkau dn murah semoga ke depannya shopy suatu satlaat menjadi bomerang bagi masyarakat ekonomi lemah,shopy mudah masyarakat belanja harga jangkau dn murah moga depan shopy suatu satlaat bomerang masyarakat ekonomi lemah
sangat puas,5,2026-04-14 12:41:13,Positif,sangat puas,puas
sangat bagus aplikasi shopee buat belanja,5,2026-04-14 12:40:10,Positif,sangat bagus aplikasi shopee buat belanja,bagus belanja
"mantap , selama ini aku selalu pesan atau belanja tetap pada amanah ,",5,2026-04-14 12:39:42,Positif,mantap selama ini aku selalu pesan atau belanja tetap pada amanah,bagus lama aku pesan belanja tetap amanah
"tidak memuaskan jir, masak baru login ga bisa cek out pakek vocer najis",1,2026-04-14 12:36:27,Negatif,tidak memuaskan jir masak baru login ga bisa cek out pakek vocer najis,muas jir masak baru login cek out pakek vocer najis
selama ini hanya shopee yg terbaik,5,2026-04-14 12:33:52,Positif,selama ini hanya shopee yg terbaik,lama hanya baik
bagus,5,2026-04-14 12:32:35,Positif,bagus,bagus
good,5,2026-04-14 12:31:49,Positif,good,good
bagus,5,2026-04-14 12:30:11,Positif,bagus,bagus
aplikasi makin ngk jelas sekarang ngk konsisten pengiriman barang lama muter2 ngk jelas,1,2026-04-14 12:29:45,Negatif,aplikasi makin ngk jelas sekarang ngk konsisten pengiriman barang lama muter ngk jelas,makin ngk jelas sekarang ngk konsisten kirim barang lama muter ngk jelas
"Penggunaan lebih dari 9 tahun, sangat memudahkan dalam belanja",5,2026-04-14 12:28:50,Positif,penggunaan lebih dari tahun sangat memudahkan dalam belanja,guna tahun mudah belanja
"Kekurangan Shopee (Pengiriman Paket) Salah satu kekurangan yang sering dirasakan pengguna Shopee adalah lamanya waktu pengiriman paket. Tidak jarang paket tertahan cukup lama di gudang atau dalam proses transit tanpa kejelasan yang cepat. Hal ini membuat pembeli merasa tidak nyaman dan khawatir terhadap barang yang dipesan. Seharusnya, proses pengiriman bisa dilakukan lebih cepat dan efisien tanpa penundaan yang tidak perlu. Pihak layanan diharapkan dapat meningkatkan kinerja distribusi agar",1,2026-04-14 12:28:47,Negatif,kekurangan shopee pengiriman paket salah satu kekurangan yang sering dirasakan pengguna shopee adalah lamanya waktu pengiriman paket tidak jarang paket tertahan cukup lama di gudang atau dalam proses transit tanpa kejelasan yang cepat hal ini membuat pembeli merasa tidak nyaman dan khawatir terhadap barang yang dipesan seharusnya proses pengiriman bisa dilakukan lebih cepat dan efisien tanpa penundaan yang tidak perlu pihak layanan diharapkan dapat meningkatkan kinerja distribusi agar,kurang kirim paket salah kurang sering rasa guna lama waktu kirim paket jarang paket tahan cukup lama gudang proses transit tanpa jelas cepat buat beli rasa nyaman khawatir hadap barang pes harus proses kirim laku cepat efisien tanpa tunda perlu pihak layan harap tingkat kerja distribusi
"saya pengguna Lama di shoope saya Ngajuin Buat Aktifin paylater , Saya punya tagihan yang jatuh tempo ,Saya ngerasa salah Tapi sesudah jatuh tempo itu saya lunasin semua nya Sampai Yang Masi jauh Dari tagihan Saya Pun saya sudah lunasin,Sampai semua nya beres . tapi Sampai hari Ini udah berbulan bulan kayak nya hampir setahun Paylater saya Di bekukan. kecewa banget 😓😓😓",1,2026-04-14 12:28:32,Negatif,saya pengguna lama di shoope saya ngajuin buat aktifin paylater saya punya tagihan yang jatuh tempo saya ngerasa salah tapi sesudah jatuh tempo itu saya lunasin semua nya sampai yang masi jauh dari tagihan saya pun saya sudah lunasin sampai semua nya beres tapi sampai hari ini udah berbulan bulan kayak nya hampir setahun paylater saya di bekukan kecewa banget,guna lama shoope ngajuin aktifin paylater punya tagih jatuh tempo ngerasa salah sudah jatuh tempo lunasin semua nya sampai mas jauh tagih lunasin sampai semua nya beres sampai hari bulan bulan kayak nya hampir tahun paylater beku kecewa
"murah banget,dan cepat nyampek lagi",5,2026-04-14 12:25:10,Positif,murah banget dan cepat nyampek lagi,murah cepat nyampek
sangat membantu buat pedagang krn terkadang banyak harga promo,5,2026-04-14 12:24:43,Positif,sangat membantu buat pedagang krn terkadang banyak harga promo,bantu dagang terkadang banyak harga promo
lumayan lah,4,2026-04-14 12:22:03,Positif,lumayan lah,lumayan
pengiriman lambat padahal bukan lebaran atu mau lebaran,1,2026-04-14 12:22:00,Negatif,pengiriman lambat padahal bukan lebaran atu mau lebaran,kirim lambat padahal bukan lebaran atu ingin lebaran
sangat bagus,5,2026-04-14 12:21:10,Positif,sangat bagus,bagus
ok,5,2026-04-14 12:20:54,Positif,ok,ok
sangat baik,5,2026-04-14 12:19:28,Positif,sangat baik,baik
iklan lu ganggu scroll tiktok!!!,1,2026-04-14 12:19:06,Negatif,iklan lu ganggu scroll tiktok,iklan ganggu scroll tiktok
sangat jembuatt,5,2026-04-14 12:16:14,Positif,sangat jembuatt,jembuatt
Aplikasi ngawur aku gak minta perpanjang Netflix di perpanjang otomatis saldoku dipotong,5,2026-04-14 12:16:12,Positif,aplikasi ngawur aku gak minta perpanjang netflix di perpanjang otomatis saldoku dipotong,ngawur aku minta panjang netflix panjang otomatis saldo potong
Good,5,2026-04-14 12:13:11,Positif,good,good
suka banget sama shopee jadi belanja gak perlu keluyuran kepanasan semenjak ada shopee jadi males belanja di pasar 😁,5,2026-04-14 12:12:00,Positif,suka banget sama shopee jadi belanja gak perlu keluyuran kepanasan semenjak ada shopee jadi males belanja di pasar,suka jadi belanja perlu keluyur panas semenjak jadi males belanja pasar
penjualan terbaik,5,2026-04-14 12:11:52,Positif,penjualan terbaik,jual baik
"ni aplikasi kagak bisa diem apa gimna ya? aku baru aja buka aplikasi Wattpad malah harus ke shopee lagii, capek bolak balik nya woyy,jujur aplikasi shopee ini bagus banget tapi ya gitu mengganggu aplikasi lain,shibbal.",5,2026-04-14 12:11:44,Positif,ni aplikasi kagak bisa diem apa gimna ya aku baru aja buka aplikasi wattpad malah harus ke shopee lagii capek bolak balik nya woyy jujur aplikasi shopee ini bagus banget tapi ya gitu mengganggu aplikasi lain shibbal,ni diem gimna ya aku baru buka wattpad malah lagi capek bolak balik nya woyy jujur bagus ya gitu ganggu lain shibbal
mengapa shopee pay later sy jd 0 ga jelas ini padhal bayr selalu tepat waktu. tlg di cek admin,5,2026-04-14 12:10:55,Positif,mengapa shopee pay later sy jd ga jelas ini padhal bayr selalu tepat waktu tlg di cek admin,mengapa pay later jd jelas padhal bayr tepat waktu tlg cek admin
"BERISIK, KEBANYAKAN IKLAN DI APLIKASI LAIN GILAAAAAAAAAA. BIKIN BADMOOD, sok sok an pake ada tanda silang penjebak itu. benci bgt tiap iklan shopee lewat. IKLANNYA GAUSAH 2 MENIT BISA GAK? MANA GA BISA DI SKIP. apa lagi klo udh di tiktok lewat, dikira org konten biasa giliran di swipe malah pindah ke shopee. BENCI BGT BENCIIIIIII.",1,2026-04-14 12:10:50,Negatif,berisik kebanyakan iklan di aplikasi lain gilaaaaaaaaaa bikin badmood sok sok an pake ada tanda silang penjebak itu benci bgt tiap iklan shopee lewat iklannya gausah menit bisa gak mana ga bisa di skip apa lagi klo udh di tiktok lewat dikira org konten biasa giliran di swipe malah pindah ke shopee benci bgt benciiiiiii,berisik banyak iklan lain gilaaaaaaaaaa bikin badmood sok sok an pake tanda silang jebak benci banget tiap iklan lewat iklan gausah menit mana skip klo tiktok lewat kira org konten biasa gilir swipe malah pindah benci banget benciiiiiii
bagus,5,2026-04-14 12:10:07,Positif,bagus,bagus
bagus dan memuaskan bisa memudahkan saya untuk belanja jika sedang MLS keluar,5,2026-04-14 12:07:24,Positif,bagus dan memuaskan bisa memudahkan saya untuk belanja jika sedang mls keluar,bagus muas mudah belanja sedang mls keluar
aplikasi yg sangat memuaskan,5,2026-04-14 12:06:33,Positif,aplikasi yg sangat memuaskan,muas
"AMANAH SEMOGA SHOPEE SELALU JAYA,,,,",5,2026-04-14 12:06:08,Positif,amanah semoga shopee selalu jaya,amanah moga jaya
Shopee selalu memberikan pelayanan yang terbaik bagi customer...terima kasih shopee 🥰,5,2026-04-14 12:05:44,Positif,shopee selalu memberikan pelayanan yang terbaik bagi customer terima kasih shopee,beri layan baik customer terima kasih
👍👍👍👍,5,2026-04-14 12:05:40,Positif,,
bagus..apk asli ..banyak bonus dan diskon potongan harga..murah dan gratis ongkir,5,2026-04-14 12:04:48,Positif,bagus apk asli banyak bonus dan diskon potongan harga murah dan gratis ongkir,bagus apk asli banyak bonus diskon potong harga murah gratis ongkir
mantab,5,2026-04-14 12:04:02,Positif,mantab,mantab
bagus dalam pelayanan,5,2026-04-14 12:03:37,Positif,bagus dalam pelayanan,bagus layan
Dicoba dulu,5,2026-04-14 12:02:51,Positif,dicoba dulu,coba dulu
Solusi terbaik jika malas keluar cari keperluan di toko,5,2026-04-14 12:02:22,Positif,solusi terbaik jika malas keluar cari keperluan di toko,solusi baik malas keluar cari perlu toko
jos jis ak,5,2026-04-14 12:02:17,Positif,jos jis ak,jos jis
"KADANG NGELAG KADANG NGGAK, ANEHHHH",1,2026-04-14 12:00:20,Negatif,kadang ngelag kadang nggak anehhhh,kadang ngelag kadang anehhhh
pengiriman lambat sampe sampe nunggu seminggu lebih untuk paketnya sampai ke penerima,1,2026-04-14 11:59:13,Negatif,pengiriman lambat sampe sampe nunggu seminggu lebih untuk paketnya sampai ke penerima,kirim lambat sampai sampai nunggu minggu paket sampai terima
paket sering stack kecewa saya,1,2026-04-14 11:58:45,Negatif,paket sering stack kecewa saya,paket sering stack kecewa
sangan membantu mantap selama ini tidak mengecewakan terus di jaga dan di pertahankan ya pelayanannya terima kasih,5,2026-04-14 11:58:11,Positif,sangan membantu mantap selama ini tidak mengecewakan terus di jaga dan di pertahankan ya pelayanannya terima kasih,sangan bantu bagus lama kecewa terus jaga tahan ya layan terima kasih
"JANGAN MAU PAKE SHOPEE KURIR NYA KABUR BAWA BARANG NYA LAPORAN NYA BARANG TELAH SAMPAI, TAPI DANA TIDAK DIKEMBALIKAN OLEH SHOPEE, AMATIR, CS dan tim SHOPEE nya template kerjanya, gabisa mengatasi masalah. tidak ada solusi",1,2026-04-14 11:57:53,Negatif,jangan mau pake shopee kurir nya kabur bawa barang nya laporan nya barang telah sampai tapi dana tidak dikembalikan oleh shopee amatir cs dan tim shopee nya template kerjanya gabisa mengatasi masalah tidak ada solusi,jangan ingin pake kurir nya kabur bawa barang nya lapor nya barang telah sampai dana kembali amatir cs tim nya template kerja gabisa atas masalah solusi
mudah untuk berbelanja,5,2026-04-14 11:56:58,Positif,mudah untuk berbelanja,mudah belanja
member di berikan banyak kemudahan..,5,2026-04-14 11:56:36,Positif,member di berikan banyak kemudahan,member ikan banyak mudah
belanja cuma 40ribu.di batal kan sistem.,1,2026-04-14 11:56:36,Negatif,belanja cuma ribu di batal kan sistem,belanja cuma ribu batal kan sistem
bintang 5 success,5,2026-04-14 11:54:57,Positif,bintang success,bintang success
"Pnglaman paling bruk gunakan shope iyalah pengmblian dana ditinjau sampai 1mnggu,Sangat lelet,dan brang kita atau pakt tiba2 di kmblokn bgtu saja oleh kurir,dgn alsan tidak ada org di rumah,dan fto aatu gambr mrka ambil bkti itu bkn alamat atau kntk kita.mnta tolong atau tlfb bbtuan CS jwb tdk sesuai prtnyaan. benar2 sial,pnglmn pling bruk.",1,2026-04-14 11:54:01,Negatif,pnglaman paling bruk gunakan shope iyalah pengmblian dana ditinjau sampai mnggu sangat lelet dan brang kita atau pakt tiba di kmblokn bgtu saja oleh kurir dgn alsan tidak ada org di rumah dan fto aatu gambr mrka ambil bkti itu bkn alamat atau kntk kita mnta tolong atau tlfb bbtuan cs jwb tdk sesuai prtnyaan benar sial pnglmn pling bruk,pnglaman paling bruk guna shope iya pengmblian dana tinjau sampai mnggu lelet brang pakt tiba kmblokn bgtu kurir alsan org rumah fto aatu gambr mrka ambil bkti bkn alamat kntk mnta tolong tlfb bbtuan cs jwb sesuai prtnyaan benar sial pnglmn pling bruk
shopee mantap,5,2026-04-14 11:53:35,Positif,shopee mantap,bagus
puas dan baik produknya,5,2026-04-14 11:52:37,Positif,puas dan baik produknya,puas baik produk
terbaik,5,2026-04-14 11:51:31,Positif,terbaik,baik
mantap,5,2026-04-14 11:50:58,Positif,mantap,bagus
"Apa yang salah sama aplikasi shopee ini, mau cekout ga bisa, katanya sistem shopee mendeteksi adanya masalah pada aplikasi, trus nyuruh update, pilihan updatenya juga ga ada, pilihannya cuma buka sama uninstal.",5,2026-04-14 11:50:51,Positif,apa yang salah sama aplikasi shopee ini mau cekout ga bisa katanya sistem shopee mendeteksi adanya masalah pada aplikasi trus nyuruh update pilihan updatenya juga ga ada pilihannya cuma buka sama uninstal,salah ingin cekout kata sistem deteksi ada masalah trus nyuruh update pilih updatenya pilih cuma buka uninstal
belanja menyenangkan dan barang ORY. ga nyesel belanja disini,5,2026-04-14 11:48:31,Positif,belanja menyenangkan dan barang ory ga nyesel belanja disini,belanja senang barang ory nyesel belanja sini
"ekspedisi SPX ngga jelasss, pesanan udah lewat estimasi. kita komplain bukannya di usahakan pesanan agar cepat datang malah di suruh nunggu 2 hari dan di batalin. padahal kita butuh barangnya cepat",1,2026-04-14 11:48:07,Negatif,ekspedisi spx ngga jelasss pesanan udah lewat estimasi kita komplain bukannya di usahakan pesanan agar cepat datang malah di suruh nunggu hari dan di batalin padahal kita butuh barangnya cepat,ekspedisi spx jelasss pesan lewat estimasi komplain bukan usaha pesan cepat datang malah suruh nunggu hari batalin padahal butuh barang cepat
tidak merespon keluhan customer,1,2026-04-14 11:47:54,Negatif,tidak merespon keluhan customer,merespon keluh customer
"akun sya tidak bisa shopee letter/shopee pinjam,, padahal sudah lama jg berlangganan sama shopee,, aq tu cod terus",3,2026-04-14 11:45:09,Netral,akun sya tidak bisa shopee letter shopee pinjam padahal sudah lama jg berlangganan sama shopee aq tu cod terus,akun sya letter pinjam padahal lama langgan tu cod terus
"pesen instan tapi info dari toko selalu susah dapet driver. instan tapi datengnya besok,",1,2026-04-14 11:43:42,Negatif,pesen instan tapi info dari toko selalu susah dapet driver instan tapi datengnya besok,sen instan info toko susah dapet driver instan datengnya besok
untuk cs agen susah dihubungi refund tiket pesawat lama sudah 60 hari tidak kelar2 tolong ditambahkan layanan wa dsb email care susah mau komplain mudah2han dari playstore dapat terhubung ke pihak management mitra traveloka kalau ditravel agent lainya est 7 hari sudah kelar proses refund,1,2026-04-14 11:43:33,Negatif,untuk cs agen susah dihubungi refund tiket pesawat lama sudah hari tidak kelar tolong ditambahkan layanan wa dsb email care susah mau komplain mudahhan dari playstore dapat terhubung ke pihak management mitra traveloka kalau ditravel agent lainya est hari sudah kelar proses refund,cs agen susah hubung refund tiket pesawat lama hari kelar tolong tambah layan wa dsb email care susah ingin komplain mudahhan playstore hubung pihak management mitra traveloka ditravel agent lai est hari kelar proses refund
sangat puas,5,2026-04-14 11:42:57,Positif,sangat puas,puas
sangat baik bagu,5,2026-04-14 11:40:29,Positif,sangat baik bagu,baik bagu
baik,5,2026-04-14 11:39:05,Positif,baik,baik
benarkah apa yang aku bilangin baru kemaren aku update sekarang muncul lagi update alasan versi terbaru alasan versi terbaru aku ini sudah ngomong sama costumer service shopee di aplikasi shopee tapi jawaban itu itu lah maaf iya jadi kalau aku mau pakai aplikasi shopee ini aku download terus kalau sudah selesai aku hapus seperti itu dari pada kedepannya minta update terus menerus,1,2026-04-14 11:36:41,Negatif,benarkah apa yang aku bilangin baru kemaren aku update sekarang muncul lagi update alasan versi terbaru alasan versi terbaru aku ini sudah ngomong sama costumer service shopee di aplikasi shopee tapi jawaban itu itu lah maaf iya jadi kalau aku mau pakai aplikasi shopee ini aku download terus kalau sudah selesai aku hapus seperti itu dari pada kedepannya minta update terus menerus,benar aku bilangin baru kemaren aku update sekarang muncul update alas versi baru alas versi baru aku ngomong costumer service jawab maaf iya jadi aku ingin pakai aku download terus selesai aku hapus seperti depan minta update terus terus
"Bagus, ada barang unik yang bisa dijual dan dipakai",5,2026-04-14 11:34:30,Positif,bagus ada barang unik yang bisa dijual dan dipakai,bagus barang unik jual pakai
"Entah apa alasan nya memutus kerjasama dengan ekspedisi lain??? sedang kan SPX EXPRESS sangat lambat pengiriman nya barang sudah sampai di hub status barang sedang di antar tapi tidak sampai ke tangan pembeli dan para kurir SPX EXPRESS macam pejabat penting saja tingkah nya,di telpon di chat tidak di respon barang tidak di antar Andai kata malas ngantar tinggal aja di kantor biar pembeli yang ambil sendiri ke kantor.",1,2026-04-14 11:33:22,Negatif,entah apa alasan nya memutus kerjasama dengan ekspedisi lain sedang kan spx express sangat lambat pengiriman nya barang sudah sampai di hub status barang sedang di antar tapi tidak sampai ke tangan pembeli dan para kurir spx express macam pejabat penting saja tingkah nya di telpon di chat tidak di respon barang tidak di antar andai kata malas ngantar tinggal aja di kantor biar pembeli yang ambil sendiri ke kantor,entah alas nya putus kerjasama ekspedisi lain sedang kan spx express lambat kirim nya barang sampai hub status barang sedang antar sampai tangan beli para kurir spx express macam jabat penting tingkah nya telpon chat respon barang antar andai kata malas ngantar tinggal kantor biar beli ambil sendiri kantor
Makasih shopee sudah bikin blanja nyaman sukses selalu,5,2026-04-14 11:32:19,Positif,makasih shopee sudah bikin blanja nyaman sukses selalu,makasih bikin blanja nyaman sukses
sangat mudah apabila barang yg harus di kembalikan dan banyak gratis ongkir lagi,5,2026-04-14 11:31:23,Positif,sangat mudah apabila barang yg harus di kembalikan dan banyak gratis ongkir lagi,mudah apabila barang kembali banyak gratis ongkir
"kenapasi paket shopee datangnya makin lama, sebelumnya walau pake spx hemat datengnya tetap ga selama ini + ongkirnya juga ga terlalu mahal, sekarang malah gini agak ga suka si soalnya udah pesan barang jauh sebelum hari mau pake barangnya eh tetep aja masih lama, heran...",2,2026-04-14 11:31:08,Negatif,kenapasi paket shopee datangnya makin lama sebelumnya walau pake spx hemat datengnya tetap ga selama ini ongkirnya juga ga terlalu mahal sekarang malah gini agak ga suka si soalnya udah pesan barang jauh sebelum hari mau pake barangnya eh tetep aja masih lama heran,napas paket datang makin lama belum walau pake spx hemat datengnya tetap lama ongkirnya terlalu mahal sekarang malah gin agak suka si soal pesan barang jauh belum hari ingin pake barang eh tetep lama heran
mantap aplikas bagus,5,2026-04-14 11:29:05,Positif,mantap aplikas bagus,bagus aplikas bagus
cukup membantu sekali.. cepat dan komplain cepat ditangani,5,2026-04-14 11:26:16,Positif,cukup membantu sekali cepat dan komplain cepat ditangani,cukup bantu cepat komplain cepat tangan
"Dengan adanya belanja online Shopee, saya sangat terbantu, belanja tdk hrs keluar rumah, sering ada promo, dan pastinya memudahkan saya sbg ibu rumah tangga",5,2026-04-14 11:25:17,Positif,dengan adanya belanja online shopee saya sangat terbantu belanja tdk hrs keluar rumah sering ada promo dan pastinya memudahkan saya sbg ibu rumah tangga,ada belanja online bantu belanja keluar rumah sering promo pasti mudah sbg ibu rumah tangga
beneran bsa narik,5,2026-04-14 11:23:48,Positif,beneran bsa narik,beneran narik
"bagus ,oke pokonya sih untuk shopee",5,2026-04-14 11:23:13,Positif,bagus oke pokonya sih untuk shopee,bagus oke poko sih
"Shopee Indonesia menang bagus, mantap, aku suka banget. ...trimakasih",5,2026-04-14 11:22:42,Positif,shopee indonesia menang bagus mantap aku suka banget trimakasih,indonesia menang bagus bagus aku suka trimakasih
pliss shopee kalo upgrade aplikasi tatak letak menu jangan ganti2 terus bikin pusing 😭,1,2026-04-14 11:19:55,Negatif,pliss shopee kalo upgrade aplikasi tatak letak menu jangan ganti terus bikin pusing,pliss kalo upgrade tatak letak menu jangan ganti terus bikin pusing
sangat membantu,5,2026-04-14 11:19:45,Positif,sangat membantu,bantu
napa sich pinjaman padahal lancar tp ga di acc lagi ...,5,2026-04-14 11:15:53,Positif,napa sich pinjaman padahal lancar tp ga di acc lagi,napa sich pinjam padahal lancar tapi acc
aplikasinya bagus dan berkualitas fungsi baik,5,2026-04-14 11:14:33,Positif,aplikasinya bagus dan berkualitas fungsi baik,aplikasi bagus kualitas fungsi baik
bgus,5,2026-04-14 11:13:12,Positif,bgus,bgus
baru nyoba pindah dari apk sebelah ongkir mahal,5,2026-04-14 11:12:15,Positif,baru nyoba pindah dari apk sebelah ongkir mahal,baru nyoba pindah apk belah ongkir mahal
mantap,5,2026-04-14 11:10:36,Positif,mantap,bagus
tidak dapat memesan,1,2026-04-14 11:10:20,Negatif,tidak dapat memesan,mes
"tiati yg mau belanja di aplikasi ini, banyak penipuan, saya baru kena tipu, belanja seharga 3,3jt beli hp, yg dateng hp rusak, dan parah nya lg pihak shopee ga mau balikin duitnya... padahal bukti video unboxing udah jelas...",1,2026-04-14 11:10:19,Negatif,tiati yg mau belanja di aplikasi ini banyak penipuan saya baru kena tipu belanja seharga jt beli hp yg dateng hp rusak dan parah nya lg pihak shopee ga mau balikin duitnya padahal bukti video unboxing udah jelas,tiati ingin belanja banyak tipu baru kena tipu belanja harga jt beli hp dateng hp rusak buruk nya pihak ingin balikin duit padahal bukti video unboxing jelas
good,5,2026-04-14 11:09:35,Positif,good,good
sangat membantu,5,2026-04-14 11:09:20,Positif,sangat membantu,bantu
iklannya ngeselin,3,2026-04-14 11:05:56,Netral,iklannya ngeselin,iklan ngeselin
bagusssss,5,2026-04-14 11:05:17,Positif,bagusssss,bagusssss
bagus banus/diskon dan gratis ongkir,5,2026-04-14 11:04:21,Positif,bagus banus diskon dan gratis ongkir,bagus banus diskon gratis ongkir
ok,5,2026-04-14 11:02:52,Positif,ok,ok
Barangnya bagus,5,2026-04-14 11:02:36,Positif,barangnya bagus,barang bagus
bagus,5,2026-04-14 11:02:24,Positif,bagus,bagus
"e-commerce bagus, cuman ekspedisi nya lelet semua, cs bodo semua, ada masalah terlalu di anggap enteng",1,2026-04-14 10:56:14,Negatif,e commerce bagus cuman ekspedisi nya lelet semua cs bodo semua ada masalah terlalu di anggap enteng,commerce bagus cuman ekspedisi nya lelet semua cs bodo semua masalah terlalu anggap enteng
kurir Shopee daerah palu pemalas semua sudah 6 kali paket cod kurirnya malah suruh ambil di kantor..di tunggu besoknya paket malah di retur alasan pembeli menolak payah layanan kurir Shopee palu Sulteng,1,2026-04-14 10:56:05,Negatif,kurir shopee daerah palu pemalas semua sudah kali paket cod kurirnya malah suruh ambil di kantor di tunggu besoknya paket malah di retur alasan pembeli menolak payah layanan kurir shopee palu sulteng,kurir daerah palu malas semua kali paket cod kurir malah suruh ambil kantor tunggu besok paket malah retur alas beli tolak payah layan kurir palu sulteng
kmpret topup shopee pay kok ada minimum check out sekarang,2,2026-04-14 10:55:10,Negatif,kmpret topup shopee pay kok ada minimum check out sekarang,kmpret topup pay kok minimum check out sekarang
selama ini layannan bagus.. yang penting tidak tergoda dengan harga murah ..pasti dapat yg murahan juga,5,2026-04-14 10:54:35,Positif,selama ini layannan bagus yang penting tidak tergoda dengan harga murah pasti dapat yg murahan juga,lama layannan bagus penting goda harga murah pasti murah
knpa shope aku gk bisa d buka trus klo masuk kya gk ada jaringan padahal jaringan bagus aja gmn ya padahal ada spylater lg 🥲,1,2026-04-14 10:53:47,Negatif,knpa shope aku gk bisa d buka trus klo masuk kya gk ada jaringan padahal jaringan bagus aja gmn ya padahal ada spylater lg,knpa shope aku buka trus klo masuk kya jaring padahal jaring bagus ya padahal spylater
sangat membantu dan bermanfaat semoga tambah sukses...,5,2026-04-14 10:51:38,Positif,sangat membantu dan bermanfaat semoga tambah sukses,bantu manfaat moga tambah sukses
apk ini bagus tapi kadang ada produk yang tidak sesuai gambar,5,2026-04-14 10:51:30,Positif,apk ini bagus tapi kadang ada produk yang tidak sesuai gambar,apk bagus kadang produk sesuai gambar
"Lumayan bagus,saya mau tanya Napa saya tidak bisa shope,ngendala tiada internet.pada hal sudah kucoba buka yg lain bisa baik2 saja internet nya",5,2026-04-14 10:51:24,Positif,lumayan bagus saya mau tanya napa saya tidak bisa shope ngendala tiada internet pada hal sudah kucoba buka yg lain bisa baik saja internet nya,lumayan bagus ingin tanya napa shope ngendala tiada internet coba buka lain baik internet nya
sangat puas,4,2026-04-14 10:50:23,Positif,sangat puas,puas
sangat bagus,5,2026-04-14 10:50:04,Positif,sangat bagus,bagus
kenapa saya tidak bisa ngirim shopee pay saya,3,2026-04-14 10:49:55,Netral,kenapa saya tidak bisa ngirim shopee pay saya,ngirim pay
lebih mudah saat kebutuhan mendadak,5,2026-04-14 10:49:23,Positif,lebih mudah saat kebutuhan mendadak,mudah butuh dadak
sangat bermanfaat buat yang lagi mager shop ke luar kota,5,2026-04-14 10:49:16,Positif,sangat bermanfaat buat yang lagi mager shop ke luar kota,manfaat mager shop luar kota
"Pengiriman nya kacau, mengecewakan, barang tidak bisa langsung di ambil di drop point, harus nunggu kurir. sudah berkali2 barang yang tidak di antar kurir. malah dikembalikan ke penjual secara sepihak tanpa ada komunikasi apapun.",1,2026-04-14 10:47:27,Negatif,pengiriman nya kacau mengecewakan barang tidak bisa langsung di ambil di drop point harus nunggu kurir sudah berkali barang yang tidak di antar kurir malah dikembalikan ke penjual secara sepihak tanpa ada komunikasi apapun,kirim nya kacau kecewa barang langsung ambil drop point nunggu kurir kali barang antar kurir malah kembali jual cara pihak tanpa komunikasi apa
