review_asli,review_clean,review_normalized,rating,label,tanggal
saya sangat suka dengan aplikasi shopee,saya sangat suka dengan aplikasi shopee,saya sangat suka dengan aplikasi shopee,5,Positif,2026-04-14 18:41:40
sudah verifikasi terus sudah terverifikasi tapi masih gak bisa dasar gak jelas,sudah verifikasi terus sudah terverifikasi tapi masih gak bisa dasar gak jelas,sudah verifikasi terus sudah terverifikasi tapi masih tidak bisa dasar tidak jelas,1,Negatif,2026-04-14 18:41:07
"mau beli token listrik aja susah banget anjir pemeliharaan lama banget ampe satu jam lebih, biasanya juga gak selama ini kocak, mana tengah malem banget listrik gua abis dari jam 11 malem ampe jam 1:37 nih masih belum bisa",mau beli token listrik aja susah banget anjir pemeliharaan lama banget ampe satu jam lebih biasanya juga gak selama ini kocak mana tengah malem banget listrik gua abis dari jam malem ampe jam nih masih belum bisa,mau beli token listrik saja susah banget anjir pemeliharaan lama banget ampe satu jam lebih biasanya juga tidak selama ini kocak mana tengah malem banget listrik gua abis dari jam malem ampe jam ini masih belum bisa,1,Negatif,2026-04-14 18:37:51
apaan biaya layanan 5k anjg,apaan biaya layanan k anjg,apaan biaya layanan k anjg,1,Negatif,2026-04-14 18:36:09
josss,josss,josss,5,Positif,2026-04-14 18:29:12
Fitur COD ngga bisa. alasan Pernah menolak pesanan. Padahal saya tidak pernah menolak. Kurir saja yang tidak mau mengantarkan paket dengan alasan Paket menumpuk.,fitur cod ngga bisa alasan pernah menolak pesanan padahal saya tidak pernah menolak kurir saja yang tidak mau mengantarkan paket dengan alasan paket menumpuk,fitur Cash on Delivery (bayar di tempat) tidak bisa alasan pernah menolak pesanan padahal saya tidak pernah menolak kurir saja yang tidak mau mengantarkan paket dengan alasan paket menumpuk,1,Negatif,2026-04-14 18:28:43
ok,ok,ok,5,Positif,2026-04-14 18:27:50
Saya pelanggan setia shopee tetapi kenapa saya tidak bisa mendaftar shopee pay later..,saya pelanggan setia shopee tetapi kenapa saya tidak bisa mendaftar shopee pay later,saya pelanggan setia shopee tetapi kenapa saya tidak bisa mendaftar shopee pay later,5,Positif,2026-04-14 18:27:45
nice,nice,nice,5,Positif,2026-04-14 18:13:45
jossjiss jann pokoknyeee,jossjiss jann pokoknyeee,jossjiss jann pokoknyeee,5,Positif,2026-04-14 18:10:33
tapi🙏bisa jadi #htxplorx puri kedaton cek,tapi bisa jadi puri kedaton cek,tapi bisa jadi puri kedaton cek,4,Positif,2026-04-14 18:05:50
apk shoope ya sangat membantu dan bisa mempercepat pesana semoga maju terus apk shoope,apk shoope ya sangat membantu dan bisa mempercepat pesana semoga maju terus apk shoope,apk shoope ya sangat membantu dan bisa mempercepat pesana semoga maju terus apk shoope,5,Positif,2026-04-14 18:00:07
shopee,shopee,shopee,5,Positif,2026-04-14 17:51:31
"shopeevip nya eror ga bisa masuk, jadi kedip2",shopeevip nya eror ga bisa masuk jadi kedip,shopeevip nya eror tidak bisa masuk jadi kedip,2,Negatif,2026-04-14 17:46:55
"shopee,top markotop,jos gandos pokok e......👍👍👍👍👍❤️❤️❤️❤️❤️",shopee top markotop jos gandos pokok e,shopee top markotop bagus/mantap gandos pokok e,5,Positif,2026-04-14 17:46:45
"males lama2,,masa paket di lokasi transit sampai 5 harian",males lama masa paket di lokasi transit sampai harian,males lama masa paket di lokasi transit sampai harian,3,Netral,2026-04-14 17:45:43
shopee terlalu memaksa untuk masuk ke aplikasi nya. iklan dimana mana menurut saya itu udah terlalu berlebihan,shopee terlalu memaksa untuk masuk ke aplikasi nya iklan dimana mana menurut saya itu udah terlalu berlebihan,shopee terlalu memaksa untuk masuk ke aplikasi nya iklan dimana mana menurut saya itu sudah terlalu berlebihan,2,Negatif,2026-04-14 17:45:04
"potongan penjual tinggi,pengiriman lama,barang hilang kopensasi jauh dari harga barang,PAYAHHHHH",potongan penjual tinggi pengiriman lama barang hilang kopensasi jauh dari harga barang payahhhhh,potongan penjual tinggi pengiriman lama barang hilang kopensasi jauh dari harga barang payahhhhh,1,Negatif,2026-04-14 17:36:17
"terimakasih dengan adanya shopee belanja lebih mudah, lebih murah dan tidak capek.belanja dishopee jg menyenangkan beli apa aja pasti ada,sukses selalu ya shopee semoga kedepannya semakin jaya,Aamiin",terimakasih dengan adanya shopee belanja lebih mudah lebih murah dan tidak capek belanja dishopee jg menyenangkan beli apa aja pasti ada sukses selalu ya shopee semoga kedepannya semakin jaya aamiin,terimakasih dengan adanya shopee belanja lebih mudah lebih murah dan tidak capek belanja dishopee juga menyenangkan beli apa saja pasti ada sukses selalu ya shopee semoga kedepannya semakin jaya aamiin,5,Positif,2026-04-14 17:35:51
shopee indonesia selalu membikin masyarKat memudahkan membeli segala kebutuhan rumah tangga dengan mudah murah..semoga shopee selalu ada untuk rakyat indonesis,shopee indonesia selalu membikin masyarkat memudahkan membeli segala kebutuhan rumah tangga dengan mudah murah semoga shopee selalu ada untuk rakyat indonesis,shopee indonesia selalu membikin masyarkat memudahkan membeli segala kebutuhan rumah tangga dengan mudah murah semoga shopee selalu ada untuk rakyat indonesis,5,Positif,2026-04-14 17:33:09
sangat bagus,sangat bagus,sangat bagus,5,Positif,2026-04-14 17:32:45
suka nge lag,suka nge lag,suka nge lambat merespons,2,Negatif,2026-04-14 17:32:20
"bagus sebenarnya, tapi ada kendala jadi gak bisa beli apapun dan gak bisa pake shopee pay dikarenakan ada orang yang tidak bertanggung jawab pake akun aku pas mengajukan banding udah lewat 30 hari gak bisa di apa apa in lagi",bagus sebenarnya tapi ada kendala jadi gak bisa beli apapun dan gak bisa pake shopee pay dikarenakan ada orang yang tidak bertanggung jawab pake akun aku pas mengajukan banding udah lewat hari gak bisa di apa apa in lagi,bagus sebenarnya tapi ada kendala jadi tidak bisa beli apapun dan tidak bisa pake shopee pay dikarenakan ada orang yang tidak bertanggung jawab pake akun aku pas mengajukan banding sudah lewat hari tidak bisa di apa apa in lagi,4,Positif,2026-04-14 17:28:44
mudah digunakan aplikasinya,mudah digunakan aplikasinya,mudah digunakan aplikasinya,5,Positif,2026-04-14 17:27:33
"aku benci iklan shoope, padahal gak buka shopee tapi tiba-tiba aja tu aplikasi terbuka😤😤",aku benci iklan shoope padahal gak buka shopee tapi tiba tiba aja tu aplikasi terbuka,aku benci iklan shoope padahal tidak buka shopee tapi tiba tiba saja tu aplikasi terbuka,1,Negatif,2026-04-14 17:25:03
sangat puas dgn sopi,sangat puas dgn sopi,sangat puas dengan sopi,5,Positif,2026-04-14 17:21:58
"Shopee Food Gajelas, Resto lama ga dibikinin sampe 1 Jam, dibatalin malah ga bisa pesen lagi akun Shopeenya. mending pindah Grab atau GO-JEK.",shopee food gajelas resto lama ga dibikinin sampe jam dibatalin malah ga bisa pesen lagi akun shopeenya mending pindah grab atau go jek,shopee food gajelas resto lama tidak dibikinin sampe jam dibatalin malah tidak bisa pesen lagi akun shopeenya mending pindah grab atau go jek,1,Negatif,2026-04-14 17:12:19
"tolong dong benahi aturan nya, jujur saya resah dengan masalah yg mengunggah foto barang varian teratas tapi tapi harga yg ditampilkan ternyata untuk harga varian terbawah. jujur risih, niat nyari barang malah kena clickbait mulu, cape juga udah dapet harga yg sesuai ternyata harga barang buat varian barang yg lain",tolong dong benahi aturan nya jujur saya resah dengan masalah yg mengunggah foto barang varian teratas tapi tapi harga yg ditampilkan ternyata untuk harga varian terbawah jujur risih niat nyari barang malah kena clickbait mulu cape juga udah dapet harga yg sesuai ternyata harga barang buat varian barang yg lain,tolong saja (partikel penegas) benahi aturan nya jujur saya resah dengan masalah yg mengunggah foto barang varian teratas tapi tapi harga yg ditampilkan ternyata untuk harga varian terbawah jujur risih niat nyari barang malah kena clickbait mulu cape juga sudah dapet harga yg sesuai ternyata harga barang untuk varian barang yg lain,4,Positif,2026-04-14 17:10:55
sangat membantu dan memuaskan,sangat membantu dan memuaskan,sangat membantu dan memuaskan,5,Positif,2026-04-14 17:09:59
banyak banget iklan,banyak banget iklan,banyak banget iklan,4,Positif,2026-04-14 17:06:24
pesana selalu tepat waktu dan tidak lecet,pesana selalu tepat waktu dan tidak lecet,pesana selalu tepat waktu dan tidak lecet,5,Positif,2026-04-14 17:05:45
"tolong dong min kalau bikin voucher tuh yang bener masak semakin kesini dapat vouchernya makin susah, dulu voucher nya masih dikasih jeda waktu 2 menit. eh sekarang masak dikasih waktunya cuman 20 detik doang pikir dong min kasihan yg hpnya spek kentang udh terlanjur berharap bisa dapat voucher eh malah gk kebagian voucher sama sekali😭😭😔",tolong dong min kalau bikin voucher tuh yang bener masak semakin kesini dapat vouchernya makin susah dulu voucher nya masih dikasih jeda waktu menit eh sekarang masak dikasih waktunya cuman detik doang pikir dong min kasihan yg hpnya spek kentang udh terlanjur berharap bisa dapat voucher eh malah gk kebagian voucher sama sekali,tolong saja (partikel penegas) min kalau bikin kupon diskon itu yang bener masak semakin kesini dapat vouchernya makin susah dulu kupon diskon nya masih dikasih jeda waktu menit eh sekarang masak dikasih waktunya cuman detik saja pikir saja (partikel penegas) min kasihan yg hpnya spek kentang sudah terlanjur berharap bisa dapat kupon diskon eh malah tidak kebagian kupon diskon sama sekali,5,Positif,2026-04-14 17:05:32
"katanya bisa cod malah tidak,dimana kurirnya sering ganti.jadi lama nyari alamat lg",katanya bisa cod malah tidak dimana kurirnya sering ganti jadi lama nyari alamat lg,katanya bisa Cash on Delivery (bayar di tempat) malah tidak dimana kurirnya sering ganti jadi lama nyari alamat sedang/lagi,5,Positif,2026-04-14 17:03:05
"aplikasi yang sudah sangat bagus buat pake belanja, namun kendalanya di aplikasi shopee ini, masalah pengirimannya sangat terlalu lama hingga bisa sampai memakan waktu 1 bulan lebih, banyak pesanan saya yang sudah 1bulan lebih, sampai sekarang belum juga sampai ketangan saya, kedepannya saya mohon buat pihak shopee perbaiki lagi masalah pengirimannya, akhir akhir ini pengiriman sudah sangat terlalu lama, mohon di utamakan masalah pengirimannya.",aplikasi yang sudah sangat bagus buat pake belanja namun kendalanya di aplikasi shopee ini masalah pengirimannya sangat terlalu lama hingga bisa sampai memakan waktu bulan lebih banyak pesanan saya yang sudah bulan lebih sampai sekarang belum juga sampai ketangan saya kedepannya saya mohon buat pihak shopee perbaiki lagi masalah pengirimannya akhir akhir ini pengiriman sudah sangat terlalu lama mohon di utamakan masalah pengirimannya,aplikasi yang sudah sangat bagus untuk pake belanja namun kendalanya di aplikasi shopee ini masalah pengirimannya sangat terlalu lama hingga bisa sampai memakan waktu bulan lebih banyak pesanan saya yang sudah bulan lebih sampai sekarang belum juga sampai ketangan saya kedepannya saya mohon untuk pihak shopee perbaiki lagi masalah pengirimannya akhir akhir ini pengiriman sudah sangat terlalu lama mohon di utamakan masalah pengirimannya,5,Positif,2026-04-14 17:02:27
"parah lu shopee , reguler sih di double in , kaga jelas. ,kecuali goceng tuh",parah lu shopee reguler sih di double in kaga jelas kecuali goceng tuh,buruk sekali lu shopee reguler partikel penegas di double in kaga jelas kecuali goceng itu,1,Negatif,2026-04-14 16:54:09
sangat membantu,sangat membantu,sangat membantu,5,Positif,2026-04-14 16:54:06
ok,ok,ok,5,Positif,2026-04-14 16:43:17
semenjak ada ini aku jadi ga stress,semenjak ada ini aku jadi ga stress,semenjak ada ini aku jadi tidak stress,5,Positif,2026-04-14 16:43:02
"penipuannn .... beli shopee food kaya di paksa beli voucher deals , trus gua top up lagi masih kurang lagi ,gilaaa kacauuuu ... duit gua ludesss ..",penipuannn beli shopee food kaya di paksa beli voucher deals trus gua top up lagi masih kurang lagi gilaaa kacauuuu duit gua ludesss,penipuannn beli shopee food kaya di paksa beli kupon diskon deals trus gua top up lagi masih kurang lagi gilaaa kacauuuu duit gua ludesss,1,Negatif,2026-04-14 16:42:04
"Spaylater saya tidak bisa digunakan padahal tagihan gak pernah ada tunggakan dan limitnya lumayan tidak bisa dipakai, sudah hubungi CS berkali-kali sampai sekarang belum bisa digunakan, tolong bantuannya sudah tunggu 2 bulan belum ada tanda-tanda bisa digunakan kembali 😔",spaylater saya tidak bisa digunakan padahal tagihan gak pernah ada tunggakan dan limitnya lumayan tidak bisa dipakai sudah hubungi cs berkali kali sampai sekarang belum bisa digunakan tolong bantuannya sudah tunggu bulan belum ada tanda tanda bisa digunakan kembali,spaylater saya tidak bisa digunakan padahal tagihan tidak pernah ada tunggakan dan limitnya lumayan tidak bisa dipakai sudah hubungi cs berkali kali sampai sekarang belum bisa digunakan tolong bantuannya sudah tunggu bulan belum ada tanda tanda bisa digunakan kembali,1,Negatif,2026-04-14 16:37:27
semoga pelayanannya selalu bagus,semoga pelayanannya selalu bagus,semoga pelayanannya selalu bagus,5,Positif,2026-04-14 16:33:29
sy senank melihat beragam macam prodack,sy senank melihat beragam macam prodack,sy senank melihat beragam macam prodack,5,Positif,2026-04-14 16:29:22
belanja online dengan mudah dan murah,belanja online dengan mudah dan murah,belanja online dengan mudah dan murah,5,Positif,2026-04-14 16:27:03
"bagus sih bagus, tapi pls deh iklan nya ngeselin banget. setiap baca novel online slalu aja muncul bahkan saat sudah ku hapus di histori tetap muncul + ongkirnya mahal banget kalo di pulau Jawa. selalu aja disana ongkirnya murah",bagus sih bagus tapi pls deh iklan nya ngeselin banget setiap baca novel online slalu aja muncul bahkan saat sudah ku hapus di histori tetap muncul ongkirnya mahal banget kalo di pulau jawa selalu aja disana ongkirnya murah,bagus partikel penegas bagus tapi pls partikel penegas iklan nya menjengkelkan banget setiap baca novel online slalu saja muncul bahkan saat sudah ku hapus di histori tetap muncul ongkirnya mahal banget kalau di pulau jawa selalu saja disana ongkirnya murah,1,Negatif,2026-04-14 16:26:00
teruntuk buat aplikasih shoppe hpus ajalah aplikasinya .frustasi saya menunggu pketku lama bgat dtangnya😣,teruntuk buat aplikasih shoppe hpus ajalah aplikasinya frustasi saya menunggu pketku lama bgat dtangnya,teruntuk untuk aplikasih shoppe hpus ajalah aplikasinya frustasi saya menunggu pketku lama bgat dtangnya,2,Negatif,2026-04-14 16:25:38
"jangan mau pesan paket di shopee,, masak paket belum diantar kurir,tiba2 paket ditolak pembeli,padahal saya tidak pernah menolak paket lagi dan lagi paket saya di tolak pembeli.padahal saya tidak pernah menolak paket saya....",jangan mau pesan paket di shopee masak paket belum diantar kurir tiba paket ditolak pembeli padahal saya tidak pernah menolak paket lagi dan lagi paket saya di tolak pembeli padahal saya tidak pernah menolak paket saya,jangan mau pesan paket di shopee masak paket belum diantar kurir tiba paket ditolak pembeli padahal saya tidak pernah menolak paket lagi dan lagi paket saya di tolak pembeli padahal saya tidak pernah menolak paket saya,1,Negatif,2026-04-14 16:21:57
NANTI ULASAN LAGI KALO SUDAH AKTIF COD an gara2 cansel 1 x kurir gak bilang kalo itu bukan sendal trnyta terong akhrny cansel 2x barengan kna nonaktifkan COD shopi gak asikk,nanti ulasan lagi kalo sudah aktif cod an gara cansel x kurir gak bilang kalo itu bukan sendal trnyta terong akhrny cansel x barengan kna nonaktifkan cod shopi gak asikk,nanti ulasan lagi kalau sudah aktif Cash on Delivery (bayar di tempat) an gara cansel x kurir tidak bilang kalau itu bukan sendal trnyta terong akhrny cansel x barengan kna nonaktifkan Cash on Delivery (bayar di tempat) shopi tidak asikk,2,Negatif,2026-04-14 16:21:11
bagus,bagus,bagus,5,Positif,2026-04-14 16:17:56
mantap,mantap,bagus/memuaskan,5,Positif,2026-04-14 16:16:32
puas,puas,puas,4,Positif,2026-04-14 16:12:31
"pihak shopee tolong iklannya di kurangi, kadang gak di pencet pun masuk sendiri ke aplikasinya, ini terlalu memaksa.",pihak shopee tolong iklannya di kurangi kadang gak di pencet pun masuk sendiri ke aplikasinya ini terlalu memaksa,pihak shopee tolong iklannya di kurangi kadang tidak di pencet pun masuk sendiri ke aplikasinya ini terlalu memaksa,3,Netral,2026-04-14 16:09:22
sangat puas dan sangat membantu kami di daerah kepulauan polos desa.. terima kasih shopee.karena shopee selalu ada dihati.,sangat puas dan sangat membantu kami di daerah kepulauan polos desa terima kasih shopee karena shopee selalu ada dihati,sangat puas dan sangat membantu kami di daerah kepulauan polos desa terima kasih shopee karena shopee selalu ada dihati,5,Positif,2026-04-14 16:04:59
ga bisa berkata kata intinya jos ajaa,ga bisa berkata kata intinya jos ajaa,tidak bisa berkata kata intinya bagus/mantap ajaa,5,Positif,2026-04-14 16:04:16
maf kak ..kok saya komisi afiliet gak muncul muncul padahal udah selesai hampir seminggu ..mau ngadu pada pusat bantuan di shoppe tidak ada tampilan . ..mohon solusinya,maf kak kok saya komisi afiliet gak muncul muncul padahal udah selesai hampir seminggu mau ngadu pada pusat bantuan di shoppe tidak ada tampilan mohon solusinya,maf kak kok saya komisi afiliet tidak muncul muncul padahal sudah selesai hampir seminggu mau ngadu pada pusat bantuan di shoppe tidak ada tampilan mohon solusinya,4,Positif,2026-04-14 16:04:16
saya senang blanja di shopee,saya senang blanja di shopee,saya senang blanja di shopee,5,Positif,2026-04-14 16:00:53
waktunya uninstall udah ga ngotak sama umkm,waktunya uninstall udah ga ngotak sama umkm,waktunya uninstall sudah tidak ngotak sama umkm,1,Negatif,2026-04-14 15:53:49
mantaap,mantaap,mantaap,5,Positif,2026-04-14 15:50:21
good,good,good,5,Positif,2026-04-14 15:49:18
"aplikasinya bagus sih tapi terlalu banyak bikin iklan di aplikasi yang lain, lagi buka aplikasi lain tiba tiba mental ke shopee muak banget",aplikasinya bagus sih tapi terlalu banyak bikin iklan di aplikasi yang lain lagi buka aplikasi lain tiba tiba mental ke shopee muak banget,aplikasinya bagus partikel penegas tapi terlalu banyak bikin iklan di aplikasi yang lain lagi buka aplikasi lain tiba tiba mental ke shopee muak banget,1,Negatif,2026-04-14 15:48:33
kurangi iklan,kurangi iklan,kurangi iklan,4,Positif,2026-04-14 15:48:14
bagus sekali,bagus sekali,bagus sekali,5,Positif,2026-04-14 15:45:53
buka aplikasi yang mumcul video promosi... bikin jengkel dan brisik. jadi malas belanja di shopee,buka aplikasi yang mumcul video promosi bikin jengkel dan brisik jadi malas belanja di shopee,buka aplikasi yang mumcul video promosi bikin jengkel dan brisik jadi malas belanja di shopee,1,Negatif,2026-04-14 15:44:59
terlalu banyak iklan di semua aplikasi,terlalu banyak iklan di semua aplikasi,terlalu banyak iklan di semua aplikasi,1,Negatif,2026-04-14 15:40:02
shopee aja👍,shopee aja,shopee saja,5,Positif,2026-04-14 15:39:21
terbaik,terbaik,terbaik,5,Positif,2026-04-14 15:29:35
"iklan ganggu dimana-mana, aplikasi berat kebanyakan game",iklan ganggu dimana mana aplikasi berat kebanyakan game,iklan ganggu dimana mana aplikasi berat kebanyakan game,1,Negatif,2026-04-14 15:24:39
keren,keren,keren,5,Positif,2026-04-14 15:17:25
"belanja dionline sebenernya lebih menguntungkan apalagi pakai shopee spaylater aq percaya sama shopee,kita blanja juga harus lebih teliti kwalitas pelan tapi pasti biar ngak kecewa .i love you shopee",belanja dionline sebenernya lebih menguntungkan apalagi pakai shopee spaylater aq percaya sama shopee kita blanja juga harus lebih teliti kwalitas pelan tapi pasti biar ngak kecewa i love you shopee,belanja dionline sebenernya lebih menguntungkan apalagi pakai shopee spaylater aq percaya sama shopee kita blanja juga harus lebih teliti kwalitas pelan tapi pasti biar ngak kecewa i love you shopee,5,Positif,2026-04-14 15:16:34
"tolong hentikan iklan² shopee di aplikasi lain, sangat mengganggu , auto kliker , jangan sampai orang-orang jadi benci dengan aplikasi shopee karna iklan shopee yg auto kliker,",tolong hentikan iklan shopee di aplikasi lain sangat mengganggu auto kliker jangan sampai orang orang jadi benci dengan aplikasi shopee karna iklan shopee yg auto kliker,tolong hentikan iklan shopee di aplikasi lain sangat mengganggu auto kliker jangan sampai orang orang jadi benci dengan aplikasi shopee karena iklan shopee yg auto kliker,1,Negatif,2026-04-14 15:11:40
sangat puas,sangat puas,sangat puas,5,Positif,2026-04-14 15:07:57
karena iklan tidak bisa berhenti ketika saya sedang memakai hp,karena iklan tidak bisa berhenti ketika saya sedang memakai hp,karena iklan tidak bisa berhenti ketika saya sedang memakai hp,1,Negatif,2026-04-14 15:06:53
bagus untuk soping,bagus untuk soping,bagus untuk soping,5,Positif,2026-04-14 15:04:09
proses pengembalian dana lama banget! makin jelek shopee!!!,proses pengembalian dana lama banget makin jelek shopee,proses pengembalian dana lama banget makin jelek shopee,1,Negatif,2026-04-14 15:03:37
Oke buangeeeeetttt,oke buangeeeeetttt,oke buangeeeeetttt,5,Positif,2026-04-14 15:03:19
pembayaran lebih mudah,pembayaran lebih mudah,pembayaran lebih mudah,5,Positif,2026-04-14 14:58:12
makin mantap 👍,makin mantap,makin bagus/memuaskan,5,Positif,2026-04-14 14:56:42
Shopee returnya sulit banget. Sepertinya lebih berpihak ke seler. Konsumen yg dirugikan. Waktunya beralih marketplace lain,shopee returnya sulit banget sepertinya lebih berpihak ke seler konsumen yg dirugikan waktunya beralih marketplace lain,shopee returnya sulit banget sepertinya lebih berpihak ke seler konsumen yg dirugikan waktunya beralih marketplace lain,1,Negatif,2026-04-14 14:56:13
kenapa kog spaylater gak bisa di buka,kenapa kog spaylater gak bisa di buka,kenapa kog spaylater tidak bisa di buka,5,Positif,2026-04-14 14:52:21
Iklan agresif + misleading. Biarin sapa suruh bikin iklan ngeselin,iklan agresif misleading biarin sapa suruh bikin iklan ngeselin,iklan agresif misleading biarin sapa suruh bikin iklan menjengkelkan,1,Negatif,2026-04-14 14:52:12
"aplikasi yg bagus, searching apa saja sangat mudah dan cepat, panduan jg mudah. mantap.",aplikasi yg bagus searching apa saja sangat mudah dan cepat panduan jg mudah mantap,aplikasi yg bagus searching apa saja sangat mudah dan cepat panduan juga mudah bagus/memuaskan,5,Positif,2026-04-14 14:51:09
"aplikasinya lama2 kayak scam.. tiap buka crome suka tiba2 di alihin ke shopee.. udah kayak bug aja., kualitas pengiklananya di perketat kek..",aplikasinya lama kayak scam tiap buka crome suka tiba di alihin ke shopee udah kayak bug aja kualitas pengiklananya di perketat kek,aplikasinya lama kayak scam tiap buka crome suka tiba di alihin ke shopee sudah kayak kesalahan program saja kualitas pengiklananya di perketat kek,3,Netral,2026-04-14 14:50:57
Sopi tololl ga bisa cod semua,sopi tololl ga bisa cod semua,sopi tololl tidak bisa Cash on Delivery (bayar di tempat) semua,1,Negatif,2026-04-14 14:46:32
luar biasa,luar biasa,luar biasa,5,Positif,2026-04-14 14:41:50
keren,keren,keren,5,Positif,2026-04-14 14:41:24
"berapa sya ajukan pemulihan akun Tdak pernah di tanggapi, sdah 1 tahun terakhir spaylater juga Tdak bisa digunakan ,kecewa berat",berapa sya ajukan pemulihan akun tdak pernah di tanggapi sdah tahun terakhir spaylater juga tdak bisa digunakan kecewa berat,berapa sya ajukan pemulihan akun tdak pernah di tanggapi sdah tahun terakhir spaylater juga tdak bisa digunakan kecewa berat,1,Negatif,2026-04-14 14:39:15
bagus banget,bagus banget,bagus banget,4,Positif,2026-04-14 14:38:49
mantap,mantap,bagus/memuaskan,5,Positif,2026-04-14 14:38:26
"app favorit si inii, tapi sering ngelag klo liat live",app favorit si inii tapi sering ngelag klo liat live,app favorit si inii tapi sering lag/lambat merespons kalau liat live,5,Positif,2026-04-14 14:36:52
bagus bngt,bagus bngt,bagus banget,4,Positif,2026-04-14 14:35:54
sangat baik balikan akun saya agar bisa cod,sangat baik balikan akun saya agar bisa cod,sangat baik balikan akun saya agar bisa Cash on Delivery (bayar di tempat),5,Positif,2026-04-14 14:35:27
"ga pernah retur setiap beli, tpi sekarg ga bisa buat COD lgi,,.. entah apa masalah nya,, setiap ditail yg di lihat kata nya karna sering retur, padahal ga pernah 😭",ga pernah retur setiap beli tpi sekarg ga bisa buat cod lgi entah apa masalah nya setiap ditail yg di lihat kata nya karna sering retur padahal ga pernah,tidak pernah pengembalian barang setiap beli tapi sekarg tidak bisa untuk Cash on Delivery (bayar di tempat) lagi entah apa masalah nya setiap ditail yg di lihat kata nya karena sering pengembalian barang padahal tidak pernah,5,Positif,2026-04-14 14:34:46
Sangat membantu.,sangat membantu,sangat membantu,5,Positif,2026-04-14 14:29:06
Pelayanan sangat bagus,pelayanan sangat bagus,pelayanan sangat bagus,5,Positif,2026-04-14 14:28:05
"toko Casta, sayang ga benar, barang tidak bisa dipakai",toko casta sayang ga benar barang tidak bisa dipakai,toko casta sayang tidak benar barang tidak bisa dipakai,5,Positif,2026-04-14 14:26:29
"ak ksih shoppe bintang 5 karna emg bagus si apk belanja online ini dripada yg lainnya,tapi kok skrg saya gabisa membeli barang di shopee ya??kenapa ya??semenjak saya ganti nomor WhatsApp dan ganti akun google malah gabisa beli,padahal sebelum nya aku bisa tu beli di shopee,jadinya skrg aku gabisa beli online lagi karna klo pake hp ibuk ku ak sering di marahin karna beli barang terus,kan klo di hp ku sendiri aku bisa ga dimarahin,tolong perbaiki ya shopee,namaku ORYNE,tolong perbaiki ya",ak ksih shoppe bintang karna emg bagus si apk belanja online ini dripada yg lainnya tapi kok skrg saya gabisa membeli barang di shopee ya kenapa ya semenjak saya ganti nomor whatsapp dan ganti akun google malah gabisa beli padahal sebelum nya aku bisa tu beli di shopee jadinya skrg aku gabisa beli online lagi karna klo pake hp ibuk ku ak sering di marahin karna beli barang terus kan klo di hp ku sendiri aku bisa ga dimarahin tolong perbaiki ya shopee namaku oryne tolong perbaiki ya,ak ksih shoppe bintang karena memang bagus si apk belanja online ini dripada yg lainnya tapi kok skrg saya gabisa membeli barang di shopee ya kenapa ya semenjak saya ganti nomor whatsapp dan ganti akun google malah gabisa beli padahal sebelum nya aku bisa tu beli di shopee jadinya skrg aku gabisa beli online lagi karena kalau pake hp ibuk ku ak sering di marahin karena beli barang terus kan kalau di hp ku sendiri aku bisa tidak dimarahin tolong perbaiki ya shopee namaku oryne tolong perbaiki ya,5,Positif,2026-04-14 14:25:36
My newborn's room smells fresher now and I felt completely comfortable having him work around baby equipment and nursery items safely,my newborn s room smells fresher now and i felt completely comfortable having him work around baby equipment and nursery items safely,my newborn s room smells fresher now and i felt completely comfortable having him work around baby equipment and nursery items safely,5,Positif,2026-04-14 14:25:35
status paket tidak update sudah beberapa hari masih disitu² aja kita ngk tau paket kita udah sampe mana. nanti tiba² aja paket nya sudah sampe depan rumah. sedangkan kita posisi tidak dirumah dan akhirnya ke return otomatis. Karena posisi paket tidak bisa di lacak. tidak seperti J&T setiap hari selalu terupdate posisi sudah sampai mana. SPX tidak update dan sampai nya juga lama. Tolong di perbaiki ya boss. Setiap harinya di update terus seperti J&T terima kasih,status paket tidak update sudah beberapa hari masih disitu aja kita ngk tau paket kita udah sampe mana nanti tiba aja paket nya sudah sampe depan rumah sedangkan kita posisi tidak dirumah dan akhirnya ke return otomatis karena posisi paket tidak bisa di lacak tidak seperti j t setiap hari selalu terupdate posisi sudah sampai mana spx tidak update dan sampai nya juga lama tolong di perbaiki ya boss setiap harinya di update terus seperti j t terima kasih,status paket tidak update sudah beberapa hari masih disitu saja kita ngk tau paket kita sudah sampe mana nanti tiba saja paket nya sudah sampe depan rumah sedangkan kita posisi tidak dirumah dan akhirnya ke return otomatis karena posisi paket tidak bisa di lacak tidak seperti j t setiap hari selalu terupdate posisi sudah sampai mana spx tidak update dan sampai nya juga lama tolong di perbaiki ya boss setiap harinya di update terus seperti j t terima kasih,5,Positif,2026-04-14 14:24:00
mantap,mantap,bagus/memuaskan,5,Positif,2026-04-14 14:23:11
"tempat belanja termurah, ter update ter lengkappp.. okeee bngettt .",tempat belanja termurah ter update ter lengkappp okeee bngettt,tempat belanja termurah ter update ter lengkappp okeee bngettt,5,Positif,2026-04-14 14:22:53
sangat bagus kk tapi kok harga nya beda ya ak punya dua handphone,sangat bagus kk tapi kok harga nya beda ya ak punya dua handphone,sangat bagus kk tapi kok harga nya beda ya ak punya dua handphone,5,Positif,2026-04-14 14:22:06
